Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe7  Nd5
c4 bxc3
Bb5+ c6
Ke3 Nc4+
Bd1  Qd4
Ne3 d4
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe7  Nd5
c4 bxc3
Bb5+ c6
Ke3 Nc4+
Bd1  Qd4
Ne3 d4
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe7  Nd5
c4 bxc3
Bb5+ c6
Ke3 Nc4+
Bd1  Qd4
Ne3 d4
Qxc7  Bf4
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Qe3 d4
b6  Be4
Bd6  e5
Bg4 f5
Nf2 Ng3+
Bxf3  Qa8+
Rxh7 Qc2
b4 Bxb4
g5  d5
Nxe5  dxe5
Rxb3  Nxf6+
Rf8  Re5
Qe3 d4
b6  Be4
